N M d gamma tmax seed FW_fin_energy FW_fin_opt_gap int_FW_path_energy shortest_path_energy frac_shortest_paths avg_traf_int_paths avg_len_int_paths time avg_len_shortest_path avg_traf_shortest_paths avg_traf_FW avg_traf_int_FW RGAP avg_degen_od_FW identifier num_start_end_pairs misall_traffic_1e-1 misall_traffic_1e-2 misall_traffic_1e-3 misall_traffic_1e-4 misall_traffic_1e-5 sup_paths_od_degen_rtol_1e-2 sup_paths_od_degen_rtol_1e-3 sup_paths_od_degen_rtol_1e-4 sup_paths_od_degen_rtol_1e-5 sup_paths_od_degen_rtol_1e-6 frac_integer_paths_tol_1e-02 frac_integer_paths_tol_1e-03 frac_integer_paths_tol_1e-04 frac_integer_paths_tol_1e-06 frac_integer_paths_tol_0e+00 frac_FW_flow_SP frac_sup_shortest_paths_tol_1e-2 frac_sup_shortest_paths_tol_1e-3 frac_sup_shortest_paths_tol_1e-4 frac_sup_shortest_paths_tol_1e-5 frac_sup_shortest_paths_tol_1e-6
32 5 3.0 2.0 262452 1 1.57861372338e+01 7.9604e-07 2.30000000000e+01 2.400000e+01 8.0000e-01 5.24355e-01 4.60000e+00 3.7935e+01 4.4000e+00 4.5833e-01 5.0388e-01 4.7917e-01 2.5213e-08 2.0000e+00 exp_highM_vartmax_final 5 0 0 0 0 0 7.4 7.2 7.2 7.2 7.2 0.0 0.0 0.0 0.0 0.0 6.81783e-01 0.24444444444444446 0.25 0.25 0.25 0.25
32 6 3.0 2.0 245371 13 1.52078675513e+01 6.8676e-07 2.30000000000e+01 3.100000e+01 1.0000e+00 6.27121e-01 3.16667e+00 3.3192e+01 3.1667e+00 3.9583e-01 4.6899e-01 3.9583e-01 2.2579e-08 2.0000e+00 exp_highM_vartmax_final 6 0 0 0 0 0 4.333333333333333 4.333333333333333 4.333333333333333 4.333333333333333 4.333333333333333 0.16666666666666666 0.0 0.0 0.0 0.0 7.01789e-01 0.4219576719576719 0.4219576719576719 0.4219576719576719 0.4219576719576719 0.4219576719576719
32 85 3.0 2.0 58290 16 1.80639020464e+03 2.1124e-05 1.82600000000e+03 1.965000e+03 9.6471e-01 9.22262e-01 3.24706e+00 4.2144e+01 3.2118e+00 5.6875e+00 5.7887e+00 5.7500e+00 5.8470e-09 2.0000e+00 exp_highM_vartmax_final 80 0 0 0 0 0 1.3375 1.3125 1.3 1.3 1.3 0.7529411764705882 0.7529411764705882 0.7529411764705882 0.7529411764705882 0.4823529411764706 9.51200e-01 0.9125 0.9125 0.9125 0.9125 0.9125
32 14 3.0 2.0 168967 1 8.13858313324e+01 1.8677e-06 8.80000000000e+01 1.120000e+02 8.5714e-01 7.50022e-01 3.71429e+00 3.7649e+01 3.5714e+00 1.0417e+00 1.1489e+00 1.0833e+00 1.1474e-08 2.0000e+00 exp_highM_vartmax_final 13 0 0 0 0 7.889258098402504e-06 2.8461538461538463 2.8461538461538463 2.8461538461538463 2.769230769230769 2.769230769230769 0.21428571428571427 0.21428571428571427 0.21428571428571427 0.14285714285714285 0.07142857142857142 7.44246e-01 0.4705128205128205 0.4705128205128205 0.4705128205128205 0.5089743589743589 0.5089743589743589
32 26 3.0 2.0 121455 8 1.99598826480e+02 5.4742e-06 2.12000000000e+02 2.280000e+02 8.8462e-01 8.35658e-01 3.53846e+00 4.2467e+01 3.3846e+00 1.8333e+00 1.9413e+00 1.9167e+00 1.3713e-08 2.0000e+00 exp_highM_vartmax_final 26 0 0 0 0 0 1.9615384615384615 1.7692307692307692 1.7692307692307692 1.7692307692307692 1.7692307692307692 0.38461538461538464 0.38461538461538464 0.38461538461538464 0.38461538461538464 0.15384615384615385 8.66099e-01 0.760897435897436 0.7948717948717948 0.7948717948717948 0.7948717948717948 0.7948717948717948
32 114 3.0 2.0 47874 12 3.48274295144e+03 3.3008e-05 3.52300000000e+03 3.982000e+03 9.1228e-01 9.29126e-01 3.42982e+00 4.5581e+01 3.3333e+00 7.9167e+00 8.1170e+00 8.1458e+00 4.7388e-09 2.0000e+00 exp_highM_vartmax_final 105 0 0 0 0 0 1.3333333333333333 1.276190476190476 1.276190476190476 1.276190476190476 1.2476190476190476 0.8157894736842105 0.8157894736842105 0.8157894736842105 0.8157894736842105 0.4824561403508772 9.24276e-01 0.938888888888889 0.9428571428571428 0.9428571428571428 0.9428571428571428 0.9333333333333333
32 1 3.0 2.0 393487 16 8.92724396698e-01 7.0802e-08 2.00000000000e+00 2.000000e+00 1.0000e+00 4.32351e-01 2.00000e+00 3.0950e+01 2.0000e+00 4.1667e-02 8.3491e-02 4.1667e-02 3.9655e-08 2.0000e+00 exp_highM_vartmax_final 1 0 0 0 0 0 19.0 18.0 18.0 18.0 18.0 0.0 0.0 0.0 0.0 0.0 4.32351e-01 0.05263157894736842 0.05555555555555555 0.05555555555555555 0.05555555555555555 0.05555555555555555
32 153 3.0 2.0 39136 2 6.75590837153e+03 1.2935e-04 6.78500000000e+03 7.115000e+03 9.8693e-01 9.26346e-01 3.48366e+00 4.4184e+01 3.4706e+00 1.1062e+01 1.1130e+01 1.1104e+01 9.5733e-09 2.0000e+00 exp_highM_vartmax_final 136 0 0 0 0 0 1.3676470588235294 1.3676470588235294 1.3676470588235294 1.3676470588235294 1.3529411764705883 0.7450980392156863 0.738562091503268 0.738562091503268 0.738562091503268 0.40522875816993464 9.78739e-01 0.9411764705882353 0.9411764705882353 0.9411764705882353 0.9411764705882353 0.943627450980392
32 26 3.0 2.0 121455 6 2.18187674283e+02 5.2837e-06 2.40000000000e+02 2.610000e+02 8.8462e-01 7.37142e-01 3.38462e+00 4.1073e+01 3.2692e+00 1.7708e+00 1.9299e+00 1.8333e+00 1.2108e-08 2.0000e+00 exp_highM_vartmax_final 26 0 0 0 0 0 2.1923076923076925 2.1538461538461537 2.1538461538461537 2.1538461538461537 2.1538461538461537 0.38461538461538464 0.38461538461538464 0.38461538461538464 0.38461538461538464 0.07692307692307693 7.57760e-01 0.657051282051282 0.6762820512820512 0.6762820512820512 0.6762820512820512 0.6762820512820512
32 3 3.0 2.0 309207 4 4.48297863110e+00 3.0278e-07 9.00000000000e+00 9.000000e+00 1.0000e+00 4.49330e-01 3.00000e+00 3.2146e+01 3.0000e+00 1.8750e-01 2.4144e-01 1.8750e-01 3.3769e-08 2.0000e+00 exp_highM_vartmax_final 3 0 0 0 0 0 7.333333333333333 7.333333333333333 7.333333333333333 7.333333333333333 7.333333333333333 0.0 0.0 0.0 0.0 0.0 6.41007e-01 0.27777777777777773 0.27777777777777773 0.27777777777777773 0.27777777777777773 0.27777777777777773
32 1 3.0 2.0 393487 19 1.49438382680e+00 9.6182e-08 4.00000000000e+00 4.000000e+00 1.0000e+00 3.43616e-01 4.00000e+00 3.2251e+01 4.0000e+00 8.3333e-02 1.2568e-01 8.3333e-02 3.2181e-08 2.0000e+00 exp_highM_vartmax_final 1 0 0 0 0 0 37.0 29.0 29.0 29.0 29.0 0.0 0.0 0.0 0.0 0.0 3.43616e-01 0.02702702702702703 0.034482758620689655 0.034482758620689655 0.034482758620689655 0.034482758620689655
